State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	4.19374	4.26672	4.32024	4.30564	4.26672	4.24239	4.15482	4.09158	3.97481	3.84832	3.74129	3.64398	3.53209	3.39100	3.38613	3.42505	3.43478	3.39586	3.36181	3.36181	3.31802
2	3.78947	3.66167	3.50830	3.46996	3.34215	3.54025	3.41883	3.29103	3.10571	3.00346	3.12488	3.16961	3.13766	3.21434	3.36132	3.47635	3.62333	3.55942	3.43801	3.44440	3.39327
3	5.02796	5.00863	4.92160	4.70888	4.70888	4.35112	4.21575	3.96436	3.84833	3.64527	3.23917	3.26818	3.77097	3.72263	3.66461	3.68395	3.42288	3.50991	3.40354	3.43255	3.54858
4	4.35534	4.34272	4.15336	4.01449	3.79988	3.59789	3.67364	3.48428	3.47165	3.30754	2.94144	2.73945	2.61321	2.47434	2.19661	2.32285	2.65108	2.57533	2.44909	2.17136	2.08299
5	0.58328	0.56495	0.56495	0.55848	0.56711	0.55417	0.52075	0.52937	0.53153	0.54015	0.54554	0.52722	0.50565	0.49379	0.49056	0.46468	0.46037	0.47654	0.48732	0.50457	0.51751
6	3.94175	3.92361	3.89277	3.88310	3.84803	3.81901	3.77910	3.72347	3.66603	3.57896	3.47496	3.35705	3.26151	3.15389	3.04081	2.93984	2.81528	2.71793	2.63388	2.56737	2.51114
7	1.41584	1.30949	1.30616	1.31614	1.25631	1.28290	1.43578	1.41917	1.50558	1.34937	1.11007	1.43911	1.49561	1.44243	1.40255	1.38261	1.52220	1.52220	1.46902	1.53549	1.34937
8	2.07759	2.10032	2.19826	2.27171	2.32067	2.29094	2.34690	2.37139	2.38713	2.33641	2.32592	2.36264	2.41161	2.52179	2.49206	2.36614	2.39237	2.41686	2.48856	2.49031	2.46932
9	0.70134	0.70476	0.70551	0.70643	0.71048	0.71408	0.71683	0.72314	0.72798	0.74089	0.75417	0.75893	0.76344	0.77079	0.77973	0.78884	0.79406	0.80032	0.80701	0.81081	0.81699
10	1.18956	1.17981	1.19809	1.19443	1.17981	1.19200	1.18956	1.18712	1.19687	1.17128	1.17249	1.17737	1.19078	1.18956	1.20296	1.21881	1.22368	1.22003	1.20906	1.20906	1.22490
