State (Emission order)	H3k27ac	H3k9ac	H3k4me3	H3k4me1	H4k20me1	H3k79me2	H3k36me3	H3k09me	Ctcf	H3k27me3
1	0.001265281535482432	0.014124237588952626	0.2169584273645316	0.1534485899808023	0.07425716549651074	0.002176858960495539	0.0011348252818528194	0.010048128118295245	0.0328805336128709	0.8054838560098452
2	0.06156380933389612	0.27422474627522275	0.8252114135106661	0.16584123885549776	0.015060500466097452	0.00797379076363148	3.5424989462676005E-4	0.00200039222533692	0.08379085923112237	0.058490350254746984
3	0.5774209287788494	0.982597518868864	0.9700486514772972	0.08242509003217766	0.03398203728417717	0.24198950070714514	0.001730498592614451	0.001593439088905509	0.04921422142425422	0.0018274529078849892
4	0.1570564787233964	0.19041194090797434	0.4948552297953648	0.24579672081502701	0.2787144229770697	0.8376814803919503	0.22853948199108673	0.13922141510762237	0.13835818883441428	0.08086408661591099
5	0.013789628509510576	0.0025211523591215862	0.001339131149867138	0.03050597309099071	0.06421469152281462	0.6896597553574229	0.019319587205755148	0.011555166714422967	0.010733919807240012	0.0014407711373890717
6	0.012144984457819773	0.0031343477029177683	2.8027100418554434E-4	0.005295468653432682	0.03738628117163545	0.03575440363992444	0.1791912587895756	0.006342560066035485	0.014501938651899957	0.0015615024102098635
7	0.014516409694124384	0.006506602156176079	0.0033403690486189168	0.03658385442762576	0.015205233267853236	0.001388526218473166	0.00444562264722027	0.01786078531176643	0.7088812377755287	0.00572420410604637
8	0.06250137114011503	0.024078535649717327	0.013496290237548227	0.2194853916987871	0.032390076240492165	0.013208874834793202	0.004123030066426426	0.007948023912961243	0.0333692374391266	0.012501034080531482
9	0.0027667210090087744	9.00839775178134E-4	1.4419417966882406E-4	0.0029293438534975782	0.0034670944673837615	9.59287505432973E-4	0.0010219339289879584	0.007272724758464412	5.764381378060501E-4	0.002108473951701559
10	0.0027049360244497667	0.001534269545639648	7.761249299798672E-4	0.0017512402822089696	0.0024451300154211555	0.0023766567907291024	0.01244101462934405	0.28599228778938984	0.01528261387373618	0.010249491114181636
