State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	7.35168	8.21052	9.05218	10.03985	10.89869	11.77471	12.03236	11.92500	11.29375	10.34044	10.08279	10.46497	11.40970	12.43601	13.09303	13.33780	12.98138	12.23418	11.29805	10.23738	9.28407
2	4.58003	5.31893	6.50906	8.68626	12.53304	17.60379	24.81226	32.60733	39.78760	48.32158	48.88562	37.81909	35.57984	33.88207	29.75328	22.44892	14.69332	9.91588	7.18027	5.35277	4.06675
3	4.82198	5.88025	6.94706	9.20870	12.63956	19.01481	27.59196	38.88307	49.75599	52.21392	61.12391	81.47010	79.93389	69.59864	50.36194	31.68851	19.24524	11.99947	7.83465	5.46206	3.88319
4	6.61878	7.48791	9.57160	11.09816	11.96729	11.14273	8.17876	5.01423	3.62139	3.32053	3.33168	3.58796	4.92509	11.37672	27.35539	40.68209	43.75749	38.86583	31.53392	25.33856	21.20461
5	1.81761	1.75956	1.58161	1.39889	1.10294	0.81079	0.59191	0.49485	0.45107	0.42252	0.40635	0.40444	0.43775	0.49104	0.68803	1.36273	2.40762	3.51341	4.42222	5.02745	5.33007
6	1.02150	0.95372	0.88114	0.80055	0.73330	0.65858	0.60415	0.56092	0.53530	0.52356	0.52036	0.53317	0.54651	0.57639	0.63030	0.76426	0.97400	1.17200	1.38655	1.57708	1.76494
7	1.31716	1.39930	1.27609	1.18515	1.10301	1.11182	1.05608	0.88593	0.85953	1.60172	1.40810	0.82433	0.64538	0.64245	0.62778	0.66005	0.83900	0.91233	0.85073	0.92700	0.92994
8	3.40052	3.76789	4.15070	4.37761	4.72955	4.80055	4.63848	4.26184	3.83427	3.42213	2.98530	2.53920	2.43115	2.59631	3.03778	3.56105	3.92688	3.85742	3.61971	3.39435	3.19368
9	0.79894	0.77674	0.75514	0.72598	0.68484	0.63500	0.57568	0.50582	0.43674	0.38266	0.35678	0.35405	0.36515	0.38251	0.41189	0.44518	0.47659	0.50612	0.53041	0.54966	0.56647
10	0.81221	0.80253	0.78532	0.78532	0.77564	0.74767	0.73476	0.71755	0.69495	0.67451	0.66268	0.66914	0.67667	0.68204	0.69603	0.71432	0.71324	0.70786	0.71647	0.72723	0.73691
