State (Emission order)	Genome %	CpGIsland.hg19.bed.gz	RefSeqExon.hg19.bed.gz	RefSeqGene.hg19.bed.gz	RefSeqTES.hg19.bed.gz	RefSeqTSS.hg19.bed.gz	RefSeqTSS2kb.hg19.bed.gz	laminB1lads.hg19.bed.gz
1	0.71464	29.06279	4.57618	1.20634	3.74168	10.08310	10.90572	0.69203
2	0.54407	53.35309	6.91428	1.32030	3.12520	48.88148	20.21232	0.43005
3	0.35958	69.91456	10.46456	1.79008	3.23951	61.12579	25.91932	0.23145
4	0.27541	1.85828	3.28020	1.97022	2.94174	3.33178	13.48710	0.23036
5	3.22479	0.06740	0.58205	2.26085	0.54560	0.40636	1.51238	0.31812
6	5.75006	0.79090	4.21461	2.24677	3.47351	0.52037	0.84560	0.28347
7	1.04611	0.78301	1.35952	1.02408	1.11019	1.40815	1.07988	1.00852
8	1.98810	1.92738	2.04973	1.37321	2.32616	2.98539	3.60233	0.59343
9	83.24462	0.16691	0.64606	0.85890	0.75425	0.35679	0.57558	1.09968
10	2.85263	0.43506	1.02096	0.60424	1.17262	0.66270	0.78167	0.94362
Base	100	0.6832847744	2.4487802305	42.0774209923	0.0009290009	0.0010525920	3.4107529258	36.8568410921
