State (from\to) (Emission order)	1	2	3	4	5	6	7	8	9	10
1	0.9261210417767526	0.01941243043799388	0.0	9.138056404482454E-5	9.060977208460984E-5	1.3837450497128172E-4	0.0030609170626394195	0.010381873623383222	0.04022043469878112	4.8293755934889133E-4
2	0.02552520085143521	0.7021305476730284	0.09503975268362631	0.006336742026997521	0.004330262191470105	0.0059228044681963864	0.009856787467268757	0.08865459756962939	0.061506808205300405	6.964968630476617E-4
3	0.0	0.15229751150140153	0.7539828901240743	0.06811679667783764	8.478204304497083E-4	4.870834309795637E-4	0.0011170733139481718	0.020539452739752623	0.0026113717815565004	0.0
4	1.2278504328231134E-4	0.013529675033956147	0.07600384616410924	0.6997826060121668	0.15388500532657803	0.019578469019841786	1.4426085925676885E-4	0.004878757728330697	0.0	0.03207459481247816
5	2.2404718781179844E-5	7.868899280446424E-4	1.0122531470484517E-4	0.014166962341262652	0.9582102552689734	0.021288605774541374	0.0	0.003509347895651038	0.0017845197711649915	1.2978898687589205E-4
6	2.4685610175457792E-6	4.717993160739077E-4	4.307140944720259E-5	0.0010310796756973217	0.01169337629428058	0.9732663279452024	6.545650128520056E-4	0.004449558538596117	0.008109905778192168	2.7784746864072113E-4
7	0.0015347372727078205	0.004548520618879656	4.172997905926229E-4	3.008332464547919E-5	1.3883882950327324E-4	0.0030305208772268603	0.2943617532697924	0.03694212845654174	0.6574688319610116	0.0015272855990985852
8	0.0025831828517742903	0.018089751988875018	0.002343141289558903	5.984877633383318E-4	0.00424922393722305	0.008580394966584855	0.018150375715806417	0.8244173097335921	0.12022768199900212	7.604497542449361E-4
9	3.516691115753231E-4	4.544167746279302E-4	1.668108734891593E-5	0.0	6.564427166570535E-5	5.765105240704706E-4	0.01070828264668044	0.004106191872942035	0.9817539979744736	0.0019666057366154385
10	1.267345005084505E-4	6.406282193323032E-5	6.0656833081978316E-6	0.0029349582543644116	1.3338227196022843E-4	3.912055966771902E-4	6.694439459665827E-4	6.872976676230593E-4	0.04893653303727283	0.9460503162203858
